Types,Mut_burden,log10BURDENpMB
CHOL,8,0.12493873660829993
CHOL,7,0.06694678963061322
CHOL,7,0.06694678963061322
CHOL,6,0.0
CHOL,6,0.0
CHOL,5,-0.0791812460476248
CHOL,5,-0.0791812460476248
CHOL,5,-0.0791812460476248
CHOL,4,-0.17609125905568127
CHOL,4,-0.17609125905568127
CHOL,4,-0.17609125905568127
CHOL,3,-0.3010299956639812
CHOL,3,-0.3010299956639812
CHOL,3,-0.3010299956639812
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,2,-0.47712125471966244
CHOL,1,-0.7781512503836436
oSCC,328,1.7377225933280354
oSCC,16,0.4259687322722811
oSCC,13,0.3357921019231931
oSCC,11,0.2632414347745814
oSCC,9,0.17609125905568124
oSCC,7,0.06694678963061322
oSCC,7,0.06694678963061322
oSCC,6,0.0
oSCC,6,0.0
oSCC,6,0.0
oSCC,6,0.0
oSCC,5,-0.0791812460476248
oSCC,5,-0.0791812460476248
oSCC,5,-0.0791812460476248
oSCC,5,-0.0791812460476248
oSCC,5,-0.0791812460476248
oSCC,5,-0.0791812460476248
oSCC,4,-0.17609125905568127
oSCC,4,-0.17609125905568127
oSCC,4,-0.17609125905568127
oSCC,4,-0.17609125905568127
oSCC,3,-0.3010299956639812
oSCC,3,-0.3010299956639812
oSCC,3,-0.3010299956639812
oSCC,3,-0.3010299956639812
oSCC,2,-0.47712125471966244
oSCC,2,-0.47712125471966244
oSCC,2,-0.47712125471966244
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
oSCC,1,-0.7781512503836436
cMCT,6,0.0
cMCT,5,-0.0791812460476248
cMCT,5,-0.0791812460476248
cMCT,5,-0.0791812460476248
cMCT,4,-0.17609125905568127
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,3,-0.3010299956639812
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,2,-0.47712125471966244
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
cMCT,1,-0.7781512503836436
LYM,261,1.6384892569546374
LYM,27,0.6532125137753437
LYM,27,0.6532125137753437
LYM,25,0.619788758288394
LYM,23,0.5835765856339493
LYM,22,0.5642714304385625
LYM,22,0.5642714304385625
LYM,20,0.5228787452803376
LYM,19,0.5006023505691853
LYM,18,0.47712125471966244
LYM,17,0.4522976709946303
LYM,15,0.3979400086720376
LYM,13,0.3357921019231931
LYM,13,0.3357921019231931
LYM,13,0.3357921019231931
LYM,13,0.3357921019231931
LYM,12,0.3010299956639812
LYM,11,0.2632414347745814
LYM,11,0.2632414347745814
LYM,10,0.2218487496163564
LYM,10,0.2218487496163564
LYM,10,0.2218487496163564
LYM,10,0.2218487496163564
LYM,10,0.2218487496163564
LYM,10,0.2218487496163564
LYM,8,0.12493873660829993
LYM,8,0.12493873660829993
LYM,8,0.12493873660829993
LYM,7,0.06694678963061322
